area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Kumbalam,2 BHK,NWAmes,3654,2,2,16443000
Super built-up  Area,Ready To Move,Kunnumpuram,2 BHK,NridgHt,3800,2,1,17100000
Plot  Area,Ready To Move,Kuthukuzhi,3 Bedroom,NoRidge,1456,3,1,6552000
Super built-up  Area,Ready To Move,Kyomtha Seminary Road,1 BHK,NridgHt,2456,1,1,11052000
Super built-up  Area,Ready To Move,LakeshoreMadavana Service Road,2 BHK,Crawfor,3654,2,1,16443000
Built-up  Area,18-Aug,Layam Road,2 BHK,StoneBr,2250,2,1,10125000
Super built-up  Area,Ready To Move,Link Park Lane,3 BHK,IDOTRR,4500,3,0,20250000
Super built-up  Area,Ready To Move,Lisie Hospital Road,3 BHK,OldTown,2000,2,2,9000000
Super built-up  Area,Ready To Move,Malikampeedika,3 BHK,OldTown,1600,2,1,7200000
Super built-up  Area,Ready To Move,Mallapally Taluk Pathanamthitta,3 BHK,NAmes,5000,2,3,22500000
Plot  Area,Ready To Move,Mallapuram,1 Bedroom,ClearCr,5500,1,1,24750000
Super built-up  Area,Ready To Move,Mannarakkara Road,2 BHK,Gilbert,4500,2,1,20250000
Plot  Area,20-Dec,Marine drive,3 Bedroom,NAmes,2500,3,2,11250000
Super built-up  Area,18-Apr,Market Road,3 BHK,MeadowV,1200,3,1,5400000
Super built-up  Area,Ready To Move,Marottichuvadu,2 BHK,NAmes,1000,2,2,4500000
Built-up  Area,Ready To Move,Mattanchery,3 BHK,NAmes,1350,3,2,6075000
Super built-up  Area,Ready To Move,Medical Centre Road,2 BHK,NWAmes,1435,2,1,6457500
Super built-up  Area,Ready To Move,Medical College NAD Road,3 BHK,Edwards,1900,3,2,8550000
Super built-up  Area,Ready To Move,Menaka-MARINE DRIVE,3 BHK,Edwards,1800,2,2,8100000
Super built-up  Area,Ready To Move,MLA Road,2 BHK,CollgCr,1500,2,2,6750000
Super built-up  Area,Ready To Move,Mundampalam,3 BHK,Crawfor,1800,3,2,8100000
Super built-up  Area,18-Aug,Mundamveli,2 BHK,OldTown,1000,2,1,4500000
Super built-up  Area,18-May,Munnar,2 BHK,NAmes,1300,2,1,5850000
Built-up  Area,Ready To Move,Muthukulam Village Kochi,3 BHK,CollgCr,3000,3,1,13500000
Super built-up  Area,Ready To Move,Navodaya North Millumpady,2 BHK,CollgCr,1500,2,3,6750000
Built-up  Area,Ready To Move,Nethaji Nagar,4 Bedroom,NWAmes,1800,4,0,8100000
Super built-up  Area,Ready To Move,NGO Quarters Kochi,3 BHK,Sawyer,2000,3,3,9000000
Super built-up  Area,Ready To Move,NGO Quarters Mavelipuram Road,2 BHK,CollgCr,5000,2,1,22500000
Super built-up  Area,18-May,Nh Byepass,3 BHK,NAmes,2500,2,2,11250000
Super built-up  Area,20-Dec,Njarackal,2 BHK,Gilbert,1500,2,1,6750000
Super built-up  Area,Ready To Move,Njarakkal,3 BHK,SawyerW,1300,2,2,5850000
Built-up  Area,Ready To Move,North Janatha Road,2 BHK,MeadowV,1050,2,1,4725000
Super built-up  Area,Ready To Move,North Kalamassery,2 BHK,Somerst,1600,2,1,7200000
Plot  Area,18-Aug,Ottapalam,2 Bedroom,Edwards,1200,2,1,5400000
Built-up  Area,Ready To Move,Padivattom,1 BHK,Somerst,3500,1,1,15750000
Built-up  Area,Ready To Move,Palachuvadu,4 BHK,NAmes,1350,3,2,6075000
Super built-up  Area,18-Apr,Palakkad,3 BHK,Somerst,4350,3,1,19575000
Super built-up  Area,Ready To Move,Pallimugal Rd,3 BHK,SWISU,1900,3,3,8550000
Super built-up  Area,Ready To Move,Panampilly Nagar Link Road,3 BHK,NAmes,1800,2,2,8100000
Super built-up  Area,Ready To Move,Panangad,2 BHK,NAmes,3500,2,2,15750000
Super built-up  Area,Ready To Move,Paravur,3 BHK,CollgCr,4800,2,1,21600000
Plot  Area,18-May,Pathadipalam,3 Bedroom,IDOTRR,5000,2,0,22500000
Plot  Area,18-May,Pathirapally Village Ambalapuzha,2 Bedroom,StoneBr,1300,3,2,5850000
Super built-up  Area,Ready To Move,Pattalam Road,3 BHK,BrkSide,2000,3,2,9000000
Super built-up  Area,22-Jun,Perumbaikadu Village Kottayam,3 BHK,NWAmes,1258,3,3,5661000
Super built-up  Area,16-Dec,Pipeline Road,3 BHK,SWISU,1800,3,2,8100000
Super built-up  Area,Ready To Move,Ponnurunni,3 BHK,NAmes,1600,2,2,7200000
Super built-up  Area,21-Dec,Pottakuzhi Mamangalam Road,2 BHK,NAmes,1385,2,1,6232500
Super built-up  Area,Ready To Move,PT Usha Road,3 BHK,NAmes,2500,3,2,11250000
Built-up  Area,Ready To Move,Pulikillam East Road,2 BHK,BrDale,2000,2,2,9000000
Super built-up  Area,Ready To Move,Puthenpally,3 BHK,NoRidge,1300,3,3,5850000
Built-up  Area,Ready To Move,PuthiyaKavu Valavu Road,2 BHK,SawyerW,4500,2,2,20250000
Super built-up  Area,Ready To Move,Puthukkalavattom Road,3 BHK,Gilbert,1600,2,1,7200000
Super built-up  Area,Ready To Move,Rameshwaram Village,2 BHK,Gilbert,1000,2,1,4500000
Super built-up  Area,Ready To Move,Ravipuram,3 BHK,NridgHt,1630,3,3,7335000
Built-up  Area,Ready To Move,Residential House Kurambala,3 BHK,Gilbert,2000,3,0,9000000
Super built-up  Area,Ready To Move,Seaport Airport Road,3 BHK,NWAmes,1600,3,2,7200000
Super built-up  Area,Ready To Move,Smartcity Road,2 BHK,NAmes,1350,2,1,6075000
Super built-up  Area,19-May,SN Junction Over Bridge,2 BHK,NAmes,1500,2,1,6750000
Plot  Area,Ready To Move,Society Road,5 Bedroom,OldTown,1600,4,3,7200000
Built-up  Area,Ready To Move,South Kalamassery,4 BHK,NridgHt,2900,5,2,13050000
Super built-up  Area,18-May,St James Church Rd,3 BHK,Gilbert,1200,,,5400000
Built-up  Area,Ready To Move,Stadium Link Road,4 Bedroom,Sawyer,2255,3,0,10147500
Super built-up  Area,Ready To Move,Stadium Road,2 BHK,Sawyer,1400,2,1,6300000
Super built-up  Area,Ready To Move,Stadium Round,3 BHK,NAmes,1500,2,2,6750000
Super built-up  Area,Ready To Move,TD Road,2 BHK,IDOTRR,1600,2,1,7200000
Super built-up  Area,Ready To Move,Thamaramkulangara Road,2 BHK,CollgCr,2700,2,2,12150000
Super built-up  Area,Ready To Move,Thattampady,1 BHK,Edwards,1200,1,1,5400000
Super built-up  Area,Ready To Move,Thiruvaniyoor,3 BHK,Edwards,4600,3,2,20700000
Super built-up  Area,Ready To Move,Thoppumpady,2 BHK,Gilbert,1650,2,2,7425000
Super built-up  Area,Ready To Move,Thottumugham,2 BHK,NAmes,5520,2,1,24840000
Super built-up  Area,18-May,Thrippunithura,3 BHK,Blmngtn,3900,2,1,17550000
Plot  Area,Ready To Move,Thuthiyoor Road,4 Bedroom,Gilbert,1800,3,2,8100000
Super built-up  Area,Ready To Move,Trichur,2 BHK,Gilbert,4500,2,2,20250000
Super built-up  Area,Ready To Move,Uliyannoor,2 BHK,OldTown,1551,2,2,6979500
Super built-up  Area,Ready To Move,Unichira Kochi,2 BHK,SWISU,1600,2,2,7200000
Super built-up  Area,Ready To Move,Unnichira Koonamthai,2 BHK,Mitchel,1955,2,1,8797500
Plot  Area,18-Aug,Vadakkekotta Kochi,4 Bedroom,OldTown,1550,4,1,6975000
Plot  Area,Ready To Move,Vadasserikkara Village Ranni,3 Bedroom,SawyerW,4820,3,1,21690000
Super built-up  Area,18-Nov,Valanjambalam,2 BHK,Gilbert,1843,2,0,8293500
Built-up  Area,Ready To Move,Valappu,3 Bedroom,BrkSide,3640,3,0,16380000
Super built-up  Area,Ready To Move,Vallarpadam Church Road,4 BHK,NAmes,3000,4,0,13500000
Super built-up  Area,21-Mar,Vallikavu Road,1 BHK,Sawyer,4500,1,1,20250000
Built-up  Area,Ready To Move,Veli Road,4 Bedroom,Mitchel,1300,4,1,5850000
Super built-up  Area,Ready To Move,Vidya Nagar Colony,3 BHK,BrkSide,1000,3,2,4500000
Super built-up  Area,18-Apr,Kakkanad,3 BHK,NAmes,2000,3,2,9000000
Plot  Area,Ready To Move,Pukkattupady,4 Bedroom,NWAmes,1700,4,1,7650000
Super built-up  Area,18-May,Kaloor,2 BHK,CollgCr,1800,2,1,8100000
Built-up  Area,Ready To Move,Aluva,2 BHK,Sawyer,1200,4,0,5400000
Super built-up  Area,Ready To Move,Edappally,3 BHK,Edwards,1200,3,2,5400000
Super built-up  Area,Ready To Move,Marine Drive,2 BHK,BrkSide,1700,2,2,7650000
Super built-up  Area,Ready To Move,Eroor,2 BHK,SawyerW,1650,2,2,7425000
Plot  Area,Ready To Move,Kadavanthra,2 Bedroom,Crawfor,1500,2,1,6750000
Super built-up  Area,19-Mar,Thripunithura,2 BHK,OldTown,2500,2,1,11250000
Super built-up  Area,Ready To Move,Kuzhivelippady,2 BHK,OldTown,2500,2,1,11250000
Super built-up  Area,Ready To Move,Vypin Pallipuram Road,2 BHK,NAmes,2460,2,1,11070000
Super built-up  Area,Ready To Move,Elamakkara,2 BHK,Edwards,2800,2,0,12600000
Super built-up  Area,Ready To Move,Vennala,3 BHK,Crawfor,2466,3,3,11097000
Super built-up  Area,Ready To Move,Panampilly Nagar,2 BHK,IDOTRR,1650,2,2,7425000
Super built-up  Area,18-Jun,Perumbavoor,3 BHK,NAmes,810,3,1,3645000
Super built-up  Area,Ready To Move,Kalamassery,2 BHK,Veenker,1250,2,1,5625000
Built-up  Area,Ready To Move,Maradu,2 BHK,NAmes,3654,2,2,16443000
Plot  Area,Ready To Move,Vaduthala,4 Bedroom,NridgHt,3800,3,0,17100000
Plot  Area,18-Feb,Kakkanad Pallikara Road,1 Bedroom,Somerst,1456,1,0,6552000
Built-up  Area,Ready To Move,vyttila,3 Bedroom,NWAmes,2456,2,1,11052000
Plot  Area,Ready To Move,Vytilla,5 Bedroom,NPkVill,3654,5,,16443000
Super built-up  Area,Ready To Move,Angamaly,2 BHK,Crawfor,2250,2,2,10125000
Super built-up  Area,21-May,Thammanam,3 BHK,Sawyer,4500,3,2,20250000
Super built-up  Area,Ready To Move,Thevara,2 BHK,Sawyer,2000,2,1,9000000
Super built-up  Area,Ready To Move,Vazhakkala,3 BHK,Veenker,1600,2,1,7200000
Super built-up  Area,Ready To Move,Pallikkara,3 BHK,NridgHt,5000,2,3,22500000
Super built-up  Area,Ready To Move,Thevakkal,3 BHK,CollgCr,5500,2,2,24750000
Plot  Area,Ready To Move,Palarivattom,6 Bedroom,Gilbert,4500,5,1,20250000
Super built-up  Area,19-Jan,Thrikkakara,4 BHK,Edwards,1900,4,3,8550000
Super built-up  Area,Ready To Move,Nedumbassery,2 BHK,NoRidge,2000,2,2,9000000
Super built-up  Area,Ready To Move,Ernakulam South,2 BHK,Mitchel,1800,2,0,8100000
Super built-up  Area,Ready To Move,Padamughal,3 BHK,NAmes,1800,3,2,8100000
Plot  Area,Ready To Move,Thykoodam,4 Bedroom,Somerst,1800,4,,8100000
Plot  Area,Ready To Move,Elamkulam,6 Bedroom,ClearCr,2000,6,1,9000000
Built-up  Area,18-Dec,Edathala,2 BHK,Crawfor,1900,2,1,8550000
Super built-up  Area,18-Jul,Kangarappady,3 BHK,NoRidge,1900,4,1,8550000
Super built-up  Area,Ready To Move,Mamangalam,2 BHK,Mitchel,1900,2,2,8550000
Super built-up  Area,18-Dec,Varapuzha,2 BHK,OldTown,2000,2,2,9000000
Built-up  Area,Ready To Move,Mulanthuruthy,3 BHK,Crawfor,1900,2,2,8550000
Super built-up  Area,Ready To Move,Kathrikadavu,2 BHK,Edwards,2000,2,1,9000000
Plot  Area,Ready To Move,Kurlad Anganvadi Road,2 Bedroom,Timber,1800,1,1,8100000
Super built-up  Area,Ready To Move,MG Road,3 BHK,Crawfor,1800,3,2,8100000
Super built-up  Area,18-Mar,Kacheripady,3 BHK,NoRidge,2000,2,1,9000000
Super built-up  Area,Ready To Move,Cheranalloor,3 BHK,OldTown,1900,4,2,8550000
Super built-up  Area,Ready To Move,Chambakkara Kannadikadu Road,2 BHK,Timber,1900,2,1,8550000
Super built-up  Area,19-Dec,Chottanikkara,3 BHK,Edwards,1800,3,1,8100000
Super built-up  Area,Ready To Move,High Court Road,3 BHK,OldTown,1800,3,2,8100000
Super built-up  Area,19-Dec,Infopark,4 BHK,NoRidge,1900,4,0,11700000
Super built-up  Area,Ready To Move,Kannankulangara,2 BHK,CollgCr,1800,2,2,11700000
Plot  Area,Ready To Move,Keerthi Nagar Road,4 Bedroom,Gilbert,1800,4,2,11700000
Super built-up  Area,Ready To Move,Kochi,2 BHK,Mitchel,1800,2,1,11700000
Plot  Area,Ready To Move,Kundannoor,4 Bedroom,Somerst,1800,4,3,14300000
Super built-up  Area,Ready To Move,Manjummel,2 BHK,OldTown,2200,2,2,11700000
Super built-up  Area,Ready To Move,Puthiyakavu,2 BHK,Mitchel,1800,2,3,13000000
Built-up  Area,Ready To Move,Sahodaran Ayyappan Road,2 BHK,Sawyer,2000,2,1,11700000
Plot  Area,18-Dec,Shenoys,3 Bedroom,Gilbert,1800,3,1,11700000
Super built-up  Area,Ready To Move,Thengode Edachira Road,2 BHK,Gilbert,1800,2,1,11700000
Super built-up  Area,Ready To Move,Thiruvankulam Chottanikkara Road,3 BHK,OldTown,1800,2,1,13000000
Super built-up  Area,Ready To Move,Thottakkattukara,7 BHK,CollgCr,2000,7,2,11700000
Plot  Area,Ready To Move,Pallimukku,3 Bedroom,Sawyer,1800,2,0,10400000
Super built-up  Area,Ready To Move,Perumanoor,3 BHK,NAmes,1600,3,2,11700000
Super built-up  Area,Ready To Move,Chittoor Road,3 BHK,CollgCr,1800,3,3,11700000
Built-up  Area,Ready To Move,Chalikkavattom,2 BHK,BrkSide,1800,2,2,10400000
Super built-up  Area,Ready To Move,Eroor South,3 BHK,CollgCr,1600,3,2,22750000
Plot  Area,Ready To Move,Fortkochi,4 Bedroom,NWAmes,3500,5,3,7800000
Super built-up  Area,Ready To Move,Kadungalloor,3 BHK,SawyerW,1200,3,2,6500000
Super built-up  Area,Ready To Move,Kathrikadavu Railway Over Bridge,2 BHK,SawyerW,1000,2,2,8775000
Plot  Area,18-May,Mini Bypass Tripunithura Road,1 Bedroom,CollgCr,1350,1,0,9327500
Super built-up  Area,22-Dec,Ponekkara,2 BHK,NAmes,1435,2,1,12350000
Plot  Area,Ready To Move,Puthencruz,1 Bedroom,Somerst,1900,1,0,11700000
Super built-up  Area,18-Aug,Chilavannoor,3 BHK,SawyerW,1800,2,2,9750000
Super built-up  Area,18-Dec,Thrikkakara North,4 BHK,Gilbert,1500,4,3,11700000
Super built-up  Area,Ready To Move,Vazhakkulam,2 BHK,Edwards,1800,2,1,6500000
Super built-up  Area,Ready To Move,North Paravoor,3 BHK,Sawyer,1000,3,2,8450000
Super built-up  Area,Ready To Move,Athani Mundapalam Road,2 BHK,NAmes,1300,2,2,19500000
Super built-up  Area,Ready To Move,Chakkaraparambu,3 BHK,Sawyer,3000,3,,9750000
Super built-up  Area,Ready To Move,Chembumukku Road,3 BHK,Sawyer,1500,2,1,11700000
Plot  Area,Ready To Move,Choornikkara,2 Bedroom,Somerst,1800,1,0,13000000
Super built-up  Area,Ready To Move,Chullickal,3 BHK,BrkSide,2000,3,2,32500000
Super built-up  Area,18-Dec,Elamakkara Road,2 BHK,BrDale,5000,2,2,16250000
Super built-up  Area,18-Apr,Elamkulam Bridge,4 BHK,NAmes,2500,6,1,9750000
Super built-up  Area,Ready To Move,Ernakulam North Kathrikadavu,2 BHK,Sawyer,1500,2,2,8450000
Super built-up  Area,Ready To Move,Eroor Rd,3 BHK,NAmes,1300,3,2,6825000
Super built-up  Area,Ready To Move,Ettumanoor Ernakulam Rd,2 BHK,NAmes,1050,2,1,10400000
Plot  Area,Ready To Move,Gandhi Nagar,4 Bedroom,Gilbert,1600,4,2,7800000
Built-up  Area,Ready To Move,Hill Palace Road,2 BHK,NAmes,1200,2,2,22750000
Built-up  Area,Ready To Move,Irumpanam,2 BHK,Somerst,3500,2,,8775000
Plot  Area,Ready To Move,Kadavanthara Road,4 Bedroom,NAmes,1350,4,1,28275000
Super built-up  Area,Ready To Move,Kakkanad,3 BHK,NridgHt,4350,3,1,12350000
Super built-up  Area,18-May,Kakkanad NGO Quarters Road,3 BHK,NAmes,1900,2,2,11700000
Super built-up  Area,Ready To Move,Kakkanad Road,4 BHK,Sawyer,1800,4,3,22750000
Plot  Area,Ready To Move,Kaladi,4 Bedroom,NAmes,3500,2,1,31200000
Carpet  Area,18-Dec,Kannamkulangara Road,3 BHK,NAmes,4800,3,1,32500000
Super built-up  Area,21-Jun,Karukutty,1 BHK,NAmes,5000,1,1,8450000
Built-up  Area,Ready To Move,Kochi Madurai Dhanushkodi Road,2 BHK,SWISU,1300,1,0,13000000
Super built-up  Area,Ready To Move,Kollamkudimugal,3 BHK,Crawfor,2000,3,2,8177000
Plot  Area,18-May,KP Vallon Road,6 Bedroom,NridgHt,1258,6,,11700000
Super built-up  Area,18-Nov,Mulavukad,3 BHK,CollgCr,1800,3,1,10400000
Super built-up  Area,Ready To Move,Muppathadam Road,2 BHK,SawyerW,1600,2,3,9002500
Built-up  Area,Ready To Move,Muttambalam Village Kottayam,2 BHK,Timber,1385,2,1,16250000
Plot  Area,Ready To Move,Muvattupuzha,5 Bedroom,CollgCr,2500,4,1,13000000
Super built-up  Area,18-Dec,Naroth Road,2 BHK,Somerst,2000,2,2,8450000
Super built-up  Area,Ready To Move,Nettoor,3 BHK,NWAmes,1300,3,3,29250000
Super built-up  Area,Ready To Move,Pachalam,3 BHK,NridgHt,4500,3,,10400000
Super built-up  Area,Ready To Move,Palluruthy,3 BHK,Crawfor,1600,2,2,6500000
Built-up  Area,18-Mar,Panchayat Road,3 BHK,NWAmes,1000,3,3,10595000
Built-up  Area,Ready To Move,Periyar Nagar,2 BHK,Somerst,1630,2,2,13000000
Super built-up  Area,Ready To Move,Pinarmunda Infopark Short Road,3 BHK,Mitchel,2000,3,3,10400000
Plot  Area,Ready To Move,Poonithura,4 Bedroom,OldTown,1600,4,2,8775000
Plot  Area,Ready To Move,Pukkattupady Road,3 Bedroom,NAmes,1350,2,0,9750000
Super built-up  Area,Ready To Move,Pullepady,2 BHK,NAmes,1500,2,1,10400000
Plot  Area,Ready To Move,Puthiya Road,2 Bedroom,NridgHt,1600,3,3,18850000
Super built-up  Area,Ready To Move,Salem Kochi Highway,3 BHK,Mitchel,2900,3,1,7800000
Built-up  Area,Ready To Move,Satellite Township Padamughal,3 Bedroom,Veenker,1200,3,1,14657500
Super built-up  Area,Ready To Move,SRM Road,2 BHK,Edwards,2255,2,2,9100000
Super built-up  Area,18-May,Thevara Ferry Road,2 BHK,BrkSide,1400,2,1,9750000
Super built-up  Area,Ready To Move,Vidya Nagar Colony Thrikkakara,2 BHK,NoRidge,1500,2,2,10400000
Super built-up  Area,20-Dec,Warriyam Road,2 BHK,Edwards,1600,1,1,17550000
Super built-up  Area,Ready To Move,Ayyappankavu,3 BHK,Gilbert,2700,3,2,7800000
Built-up  Area,18-Dec,Valummel,3 BHK,NAmes,1200,2,1,29900000
Super built-up  Area,17-Oct,Edakochi,3 BHK,Gilbert,4600,3,3,10725000
Super built-up  Area,Ready To Move,Panayappilly,3 BHK,NAmes,1650,3,3,35880000
Plot  Area,Ready To Move,South Chittoor,6 Bedroom,ClearCr,5520,6,3,25350000
Super built-up  Area,Ready To Move,Eloor,3 BHK,BrkSide,3900,2,2,11700000
Super built-up  Area,Ready To Move,Kunnathunad,3 BHK,NAmes,1800,3,2,29250000
Super built-up  Area,Ready To Move,Veliyathunadu,2 BHK,Somerst,4500,2,2,10081500
Super built-up  Area,Ready To Move,Koonammavu,2 BHK,OldTown,1551,2,1,10400000
Super built-up  Area,Ready To Move,Puthenkurish,2 BHK,Timber,1600,2,2,12707500
Super built-up  Area,Ready To Move,Kunnukara,3 BHK,Crawfor,1955,3,2,10075000
Super built-up  Area,Ready To Move,Kolenchery,2 BHK,NAmes,1550,2,2,31330000
Super built-up  Area,Ready To Move,A z a d Road,2 BHK,ClearCr,4820,2,1,11979500
Plot  Area,Ready To Move,Alappuzha,3 Bedroom,NWAmes,1843,3,1,23660000
Carpet  Area,19-Jun,Alappuzha Arthunkal Kochi Road,1 BHK,Sawyer,3640,1,0,19500000
Super built-up  Area,Ready To Move,Alfiya Nagar,3 BHK,Edwards,3000,2,1,29250000
Super built-up  Area,Ready To Move,Alinchuvadu,3 BHK,Crawfor,4500,2,2,8450000
Super built-up  Area,Ready To Move,Alwaye,2 BHK,NAmes,1300,2,1,6500000
Super built-up  Area,Ready To Move,Ambalamedu,2 BHK,NWAmes,1000,2,2,13000000
Super built-up  Area,Ready To Move,Ambelipadam Road,3 BHK,NWAmes,2000,3,2,11050000
Super built-up  Area,18-Jul,Amrita Nagar,2 BHK,CollgCr,1700,2,2,11700000
Super built-up  Area,Ready To Move,Aroor,3 BHK,IDOTRR,1800,2,1,7800000
Super built-up  Area,18-May,Azad Road,2 BHK,CollgCr,1200,2,2,7800000
Super built-up  Area,Ready To Move,Block Office Road,2 BHK,Timber,1200,2,1,11050000
Plot  Area,Ready To Move,Bolghatty Palace Island Resort,4 Bedroom,CollgCr,1700,4,0,10725000
Super built-up  Area,Ready To Move,Brahmapuram,3 BHK,Mitchel,1650,2,1,9750000
Super built-up  Area,19-Oct,Cannon Shed Road,3 BHK,SWISU,1500,3,2,16250000
Super built-up  Area,Ready To Move,CBI Road,2 BHK,BrkSide,2500,2,1,16250000
Super built-up  Area,20-Jan,Chakkalakkal,1 BHK,NWAmes,2500,1,0,15990000
Built-up  Area,Ready To Move,Chakkalapadam Road,2 BHK,ClearCr,2460,2,0,18200000
Super built-up  Area,Ready To Move,Chakkarapparambu Road,2 BHK,StoneBr,2800,2,1,16029000
Built-up  Area,Ready To Move,Changampuzha Nagar,2 BHK,NridgHt,2466,2,1,10725000
Super built-up  Area,Ready To Move,Changampuzha Park Road,2 BHK,NAmes,1650,2,1,11700000
Super built-up  Area,Ready To Move,Chavakkadu Kochi,6 BHK,BrDale,1800,6,3,8125000
Super built-up  Area,Ready To Move,Chembakara,3 BHK,OldTown,1250,3,3,23751000
Super built-up  Area,Ready To Move,Chembumukku,3 BHK,NWAmes,3654,2,2,24700000
Super built-up  Area,Ready To Move,Cherthala Taluk Alappuzha,2 BHK,Edwards,3800,2,2,9464000
Super built-up  Area,Ready To Move,Chilavannur,3 BHK,NAmes,1456,3,3,15964000
Super built-up  Area,Ready To Move,Chitrapuzha Road,2 BHK,NAmes,2456,2,2,23751000
Super built-up  Area,Ready To Move,Chittethukara,3 BHK,Edwards,3654,3,2,14625000
Super built-up  Area,Ready To Move,Chunangamvely,3 BHK,Edwards,2250,3,3,29250000
Super built-up  Area,Ready To Move,Cochin College Road,1 BHK,NAmes,4500,1,1,13000000
Plot  Area,Ready To Move,Convent Road,4 Bedroom,Gilbert,2000,4,1,10400000
Super built-up  Area,Ready To Move,Deshabhimani,4 BHK,Crawfor,1600,6,2,32500000
Built-up  Area,Ready To Move,Desom,2 BHK,NoRidge,5000,2,2,35750000
Plot  Area,Ready To Move,Echamuku,6 Bedroom,Somerst,5500,6,0,29250000
Built-up  Area,Ready To Move,Elamana Road,2 BHK,Edwards,4500,2,2,15600000
Super built-up  Area,Ready To Move,Eroor Road,2 BHK,NridgHt,2400,2,1,7800000
Carpet  Area,Ready To Move,FACT Nagar,2 BHK,NridgHt,1200,2,2,6500000
Super built-up  Area,Ready To Move,Gandhinagar Road,2 BHK,CollgCr,1000,2,2,8775000
Super built-up  Area,Ready To Move,Good Earth Lane,2 BHK,OldTown,1350,2,1,9327500
Super built-up  Area,Ready To Move,HMT Colony,4 BHK,SawyerW,1435,5,,12350000
Super built-up  Area,19-Sep,HMT Colony Road,3 BHK,Crawfor,1900,2,1,11700000
Super built-up  Area,Ready To Move,HMT Kalamassery,4 BHK,CollgCr,1800,4,3,9750000
Plot  Area,Ready To Move,Idukki,4 Bedroom,NoRidge,1500,4,2,11700000
Super built-up  Area,19-Dec,Janatha Road,2 BHK,NoRidge,1800,2,1,6500000
Built-up  Area,Ready To Move,Jawahar Nagar,2 Bedroom,Edwards,1000,2,2,8450000
Super built-up  Area,Ready To Move,Jaya Nagar,2 BHK,NAmes,1300,2,2,19500000
Super built-up  Area,18-Oct,Journalist Colony,2 BHK,CollgCr,3000,2,1,9750000
Super built-up  Area,Ready To Move,Judgemukku Thrikkakara,2 BHK,Somerst,1500,2,1,11700000
Super built-up  Area,Ready To Move,Kaipadamugal,3 BHK,CollgCr,1800,3,1,13000000
Super built-up  Area,Ready To Move,Kakkanad Junction Road,2 BHK,Edwards,2000,2,1,32500000
Super built-up  Area,18-Apr,Kalabhavan Road,2 BHK,NAmes,5000,2,1,16250000
Super built-up  Area,Ready To Move,Kaloor Kadavanthara Road,2 BHK,BrkSide,2500,2,2,9750000
Super built-up  Area,18-Feb,Kangarappady Navodaya Road,2 BHK,NoRidge,1500,2,1,8450000
Plot  Area,18-Aug,Karikkamuri,3 Bedroom,BrkSide,1300,3,2,6825000
Super built-up  Area,Ready To Move,Karimugal,2 BHK,Somerst,1050,2,2,10400000
Super built-up  Area,Ready To Move,Karimugal Kaninadu Road,3 BHK,IDOTRR,1600,2,1,7800000
Super built-up  Area,Ready To Move,Karingachira,3 BHK,Edwards,1200,3,2,22750000
Super built-up  Area,19-Dec,Karippassery,2 BHK,Mitchel,3500,2,1,8775000
Built-up  Area,Ready To Move,Karshaka Road,3 BHK,OldTown,1350,2,2,28275000
Built-up  Area,Ready To Move,Karthikapally Taluk Alappuzha,8 Bedroom,Gilbert,4350,3,2,12350000
Plot  Area,Ready To Move,Kasargod,9 Bedroom,Somerst,1900,7,2,11700000
Built-up  Area,Ready To Move,KB Jacob Road,2 BHK,CollgCr,1800,2,1,22750000
Built-up  Area,Ready To Move,Kochangadi,2 BHK,Edwards,3500,2,2,31200000
Super built-up  Area,Ready To Move,Kochi Metropolitan Area,3 BHK,IDOTRR,4800,3,3,32500000
Plot  Area,Ready To Move,Kochi Road,5 Bedroom,BrDale,5000,6,1,8450000
Super built-up  Area,19-Jul,Kongorpilly Olanad Road,3 BHK,NWAmes,1300,3,2,13000000
Super built-up  Area,Ready To Move,Kothamangalam,2 BHK,NWAmes,2000,2,1,8177000
Super built-up  Area,Ready To Move,Kottayam Kochi,2 BHK,OldTown,1258,2,1,11700000
Plot  Area,18-Aug,Kozhikode,4 Bedroom,CollgCr,1800,4,3,10400000
Super built-up  Area,Ready To Move,Kumaranasan Road,3 BHK,CollgCr,1600,3,0,9002500
Super built-up  Area,Ready To Move,Kumarapuram Temple Road,2 BHK,NAmes,1385,2,3,16250000
Super built-up  Area,Ready To Move,Kumbalam,2 BHK,SawyerW,2500,2,1,13000000
Plot  Area,Ready To Move,Kunnumpuram,4 Bedroom,CollgCr,2000,4,2,8450000
Super built-up  Area,18-Apr,Kuthukuzhi,3 BHK,Crawfor,1300,2,1,29250000
Super built-up  Area,Ready To Move,Kyomtha Seminary Road,2 BHK,CollgCr,4500,2,2,10400000
Super built-up  Area,Ready To Move,LakeshoreMadavana Service Road,2 BHK,OldTown,1600,2,1,6500000
Built-up  Area,Ready To Move,Layam Road,2 BHK,NWAmes,1000,2,3,10595000
Super built-up  Area,19-Mar,Link Park Lane,2 BHK,Timber,1630,2,1,13000000
Super built-up  Area,Ready To Move,Lisie Hospital Road,2 BHK,SawyerW,2000,2,2,10400000
Super built-up  Area,19-Mar,Malikampeedika,2 BHK,OldTown,1600,2,1,8775000
Super built-up  Area,20-Jan,Mallapally Taluk Pathanamthitta,1 BHK,NAmes,1350,1,1,4725000
