id,area_type,price,total_sqft,location,size,availability,balcony,society,bath,YearBuilt,YearRemodAdd,MoSold,YrSold,MSSubClass,LotFrontage,1stFlrSF,2ndFlrSF,Gymnasium,SwimmingPool,ShoppingMall,SportsFacility,ATM,School,Hospital,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,KitchenAbvGr
5335,,7380000,1800,Tangra,2 BHK,19-Dec,1,NWAmes,2,1950,1977,9,2016,20,56,1268,0,9,9,9,9,9,9,9,945,0,0,945,980,0,0,980,0
5336,,6560000,1600,Howrah,2 BHK,Ready To Move,1,NridgHt,3,1997,2004,10,2016,20,68,1015,0,9,9,9,9,9,9,9,484,0,495,979,979,979,0,1958,2
5337,,5678500,1385,Rajarhat,4 BHK,Ready To Move,1,NridgHt,2,1968,1968,8,2015,60,NA,1001,1001,9,9,9,9,9,9,9,285,0,276,561,561,668,0,1229,1
5338,,10250000,2500,Garia,3 BHK,Ready To Move,1,SawyerW,2,1950,2001,5,2010,160,60,612,612,9,9,9,9,9,9,9,417,0,640,1057,1057,0,0,1057,1
5339,,8200000,2000,Rajarhat,2 Bedroom,18-Mar,1,OldTown,1,1953,1997,4,2011,180,60,546,546,9,9,9,9,9,9,9,699,0,638,1337,1337,0,0,1337,1
5340,,5330000,1300,Rajarhat,2 BHK,Ready To Move,0,NAmes,2,1998,2007,10,2011,20,60,480,0,9,9,9,9,9,9,9,604,0,92,696,696,720,0,1416,1
5341,,18450000,4500,Konnagar,2 BHK,Ready To Move,1,IDOTRR,1,2001,1965,5,2012,60,105,1229,0,9,9,9,9,9,9,9,696,0,162,858,858,0,0,858,1
5342,,6560000,1600,Rajarhat,2 BHK,Ready To Move,1,Veenker,1,1972,2006,2,2012,120,NA,912,1215,9,9,9,9,9,9,9,896,0,434,1330,1542,1330,0,2872,1
5343,,4100000,1000,Konnagar,3 BHK,Ready To Move,1,NAmes,1,1880,2004,7,2013,60,44,1414,0,9,9,9,9,9,9,9,556,0,248,804,804,744,0,1548,1
5344,,6683000,1630,New Town,1 BHK,21-Dec,1,BrkSide,2,2004,2007,7,2020,20,92,936,785,9,9,9,9,9,9,9,0,0,1800,1800,1800,0,0,1800,1
5345,,8200000,2000,Narendrapur,2 BHK,Ready To Move,1,IDOTRR,1,1990,1953,5,2020,20,78,1272,928,9,9,9,9,9,9,9,624,0,193,817,824,1070,0,1894,1
5346,,6560000,1600,Narendrapur,3 Bedroom,Ready To Move,1,NAmes,2,1920,2003,2,2018,60,NA,1316,0,9,9,9,9,9,9,9,0,0,783,783,783,701,0,1484,1
5347,,5535000,1350,Garia,3 BHK,18-Jun,1,NAmes,1,1940,2005,7,2019,20,NA,1617,0,9,9,9,9,9,9,9,428,0,300,728,976,332,0,1308,1
5348,,6150000,1500,Baguiati,3 BHK,Ready To Move,1,NridgHt,2,2003,2006,6,2020,20,64,1686,0,9,9,9,9,9,9,9,902,0,196,1098,1098,0,0,1098,1
5349,,6560000,1600,Dum Dum,3 Bedroom,18-Dec,1,NridgHt,2,1993,1950,7,2020,20,21,1126,0,9,9,9,9,9,9,9,0,0,600,600,600,368,0,968,1
5350,,11890000,2900,Dum Dum,2 BHK,Ready To Move,1,Gilbert,2,1948,1976,5,2019,20,NA,1234,1140,9,9,9,9,9,9,9,513,0,75,588,1095,0,0,1095,1
5351,,4920000,1200,Dum Dum,2 BHK,Ready To Move,1,Timber,2,1939,1999,3,2018,20,59,1098,880,9,9,9,9,9,9,9,0,0,720,720,720,472,0,1192,1
5352,,9245500,2255,Madhyamgram,3 BHK,Ready To Move,1,StoneBr,2,1965,1977,12,2015,60,NA,1788,0,9,9,9,9,9,9,9,567,0,197,764,764,862,0,1626,1
5353,,5740000,1400,Rajarhat,2 BHK,Ready To Move,1,CollgCr,2,1925,1967,7,2016,20,101,993,1243,9,9,9,9,9,9,9,0,0,918,918,918,0,0,918,1
5354,,6150000,1500,Howrah,1 BHK,18-May,1,NWAmes,2,2004,1958,4,2020,60,78,1466,0,9,9,9,9,9,9,9,0,0,1428,1428,1428,0,0,1428,1
5355,,6560000,1600,Howrah,3 Bedroom,Ready To Move,1,NAmes,1,1980,1996,12,2020,20,NA,925,0,9,9,9,9,9,9,9,0,0,728,728,1136,883,0,2019,1
5356,,11070000,2700,Howrah,3 BHK,Ready To Move,1,Timber,2,2006,1959,10,2020,120,NA,1905,0,9,9,9,9,9,9,9,641,0,32,673,673,709,0,1382,1
5357,,4920000,1200,Howrah,2 BHK,21-Dec,1,SawyerW,1,1993,2003,4,2019,60,80,1500,0,9,9,9,9,9,9,9,0,0,440,440,869,0,0,869,1
5358,,18860000,4600,Howrah,4 BHK,Ready To Move,1,NAmes,2,1980,2002,8,2019,60,50,2069,0,9,9,9,9,9,9,9,1106,0,135,1241,1241,0,0,1241,1
5359,,6765000,1650,Howrah,2 BHK,18-Aug,1,NridgHt,2,2006,2006,11,2018,50,79,747,0,9,9,9,9,9,9,9,552,0,342,894,894,0,0,894,1
5360,,22632000,5520,Howrah,2 BHK,Ready To Move,1,MeadowV,1,2004,2002,5,2015,120,65,1200,0,9,9,9,9,9,9,9,651,0,470,1121,1121,0,0,1121,1
5361,,15990000,3900,Howrah,3 BHK,Ready To Move,1,BrkSide,1,1986,1965,6,2014,30,NA,1113,858,9,9,9,9,9,9,9,867,0,77,944,999,0,0,999,1
5362,,7380000,1800,Howrah,4 Bedroom,Ready To Move,1,NAmes,1,1955,2003,7,2014,190,57,1391,571,9,9,9,9,9,9,9,854,0,371,1225,1276,1336,0,2612,1
5363,,18450000,4500,Howrah,1 BHK,Ready To Move,1,NAmes,2,1967,1969,7,2017,30,102,1207,1196,9,9,9,9,9,9,9,0,0,1266,1266,1266,0,0,1266,1
5364,,6359100,1551,Howrah,2 BHK,Ready To Move,1,NridgHt,2,1941,1975,3,2017,20,88,1728,0,9,9,9,9,9,9,9,0,0,1128,1128,1149,1141,0,2290,1
5365,,6560000,1600,Howrah,1 BHK,18-Mar,1,NridgHt,2,1993,1950,5,2017,60,60,1022,1038,9,9,9,9,9,9,9,0,0,0,0,1302,432,0,1734,2
5366,,8015500,1955,Howrah,2 BHK,Ready To Move,1,NridgHt,2,1960,1980,8,2018,60,50,1440,0,9,9,9,9,9,9,9,1040,0,124,1164,1164,0,0,1164,1
5367,,6355000,1550,Howrah,2 BHK,Ready To Move,1,ClearCr,1,1916,1962,8,2018,60,60,1632,0,9,9,9,9,9,9,9,0,0,485,485,1001,634,0,1635,1
5368,,19762000,4820,Kaikhali,2 BHK,Ready To Move,1,Edwards,1,1920,2003,6,2016,160,79,1344,0,9,9,9,9,9,9,9,1646,0,284,1930,1940,0,0,1940,1
5369,,7556300,1843,Ultadanga,2 BHK,Ready To Move,1,OldTown,1,1964,1999,4,2016,45,60,1188,561,9,9,9,9,9,9,9,156,0,692,848,1118,912,0,2030,1
5370,,14924000,3640,Kaikhali,4 BHK,Ready To Move,1,SWISU,1,1958,2008,6,2015,20,NA,1144,0,9,9,9,9,9,9,9,0,0,770,770,778,798,0,1576,1
5371,,12300000,3000,Rajarhat,2 BHK,Ready To Move,1,CollgCr,2,2003,1995,8,2010,60,43,1629,0,9,9,9,9,9,9,9,1074,0,322,1396,1407,985,0,2392,1
5372,,18450000,4500,Rajarhat,2 BHK,Ready To Move,1,Gilbert,2,2004,1976,6,2011,50,58,936,840,9,9,9,9,9,9,9,216,0,700,916,916,826,0,1742,1
5373,,5330000,1300,Rajarhat,3 BHK,19-Mar,1,MeadowV,1,1998,2007,11,2011,60,72,1381,0,9,9,9,9,9,9,9,536,117,169,822,1020,831,0,1851,1
5374,,4100000,1000,New Town,2 BHK,Ready To Move,1,ClearCr,1,1965,2003,7,2012,20,93,864,0,9,9,9,9,9,9,9,0,0,750,750,750,750,0,1500,1
5375,,8200000,2000,Dum Dum,3 BHK,Ready To Move,1,NoRidge,2,2005,2007,8,2012,70,96,965,0,9,9,9,9,9,9,9,1172,0,528,1700,1718,0,0,1718,1
5376,,6970000,1700,New Town,3 BHK,Ready To Move,1,Mitchel,1,2002,1950,7,2013,50,50,768,0,9,9,9,9,9,9,9,384,0,363,747,774,456,0,1230,1
5377,,7380000,1800,Kaikhali,1 BHK,18-May,0,BrkSide,1,1984,1955,8,2020,20,71,1168,800,9,9,9,9,9,9,9,915,0,135,1050,1050,0,0,1050,1
5378,,4920000,1200,Kaikhali,3 BHK,Ready To Move,0,Edwards,3,1958,1950,1,2020,120,NA,980,0,9,9,9,9,9,9,9,0,0,1442,1442,1442,0,0,1442,1
5379,,4920000,1200,Kaikhali,3 BHK,18-May,0,BrDale,1,2002,1958,2,2018,20,NA,979,979,9,9,9,9,9,9,9,0,0,1007,1007,1077,0,0,1077,1
5380,,6970000,1700,Rajarhat,3 BHK,Ready To Move,0,NWAmes,2,1950,1950,5,2019,20,60,561,668,9,9,9,9,9,9,9,686,0,501,1187,1208,0,0,1208,1
5381,,6765000,1650,Kaikhali,2 BHK,Ready To Move,0,IDOTRR,1,1949,2004,2,2020,20,68,1057,0,9,9,9,9,9,9,9,0,0,0,0,944,0,0,944,1
5382,,6150000,1500,New Town,2 Bedroom,19-Jan,0,NAmes,1,2005,1979,7,2020,20,60,1337,0,9,9,9,9,9,9,9,0,0,691,691,691,0,0,691,1
5383,,10250000,2500,New Town,2 BHK,Ready To Move,0,NAmes,1,1976,2008,1,2019,20,69,696,720,9,9,9,9,9,9,9,24,0,1550,1574,1574,0,0,1574,1
5384,,10250000,2500,New Town,2 BHK,Ready To Move,0,NAmes,1,1939,1993,7,2018,60,60,858,0,9,9,9,9,9,9,9,0,0,1680,1680,1680,0,0,1680,2
5385,,10086000,2460,Howrah,2 BHK,Ready To Move,1,NAmes,1,1960,2000,6,2015,85,65,1542,1330,9,9,9,9,9,9,9,16,0,1330,1346,1504,0,0,1504,1
5386,,11480000,2800,Tangra,3 BHK,20-Dec,1,Gilbert,2,1960,1958,5,2016,160,38,804,744,9,9,9,9,9,9,9,595,0,390,985,985,0,0,985,1
5387,,10110600,2466,New Town,3 BHK,Ready To Move,1,ClearCr,2,2003,2007,11,2020,60,65,1800,0,9,9,9,9,9,9,9,1237,0,420,1657,1657,0,0,1657,1
5388,,6765000,1650,Dum Dum,3 BHK,21-Jun,1,SawyerW,1,2005,1954,3,2020,160,60,824,1070,9,9,9,9,9,9,9,273,273,0,546,546,546,0,1092,1
5389,,3321000,810,Rajarhat,2 BHK,Ready To Move,1,NAmes,1,2007,1963,8,2020,120,93,783,701,9,9,9,9,9,9,9,0,0,1710,1710,1710,0,0,1710,1
5390,,5125000,1250,New Town,2 BHK,Ready To Move,1,CollgCr,2,1986,2007,4,2019,90,NA,976,332,9,9,9,9,9,9,9,0,0,1008,1008,1008,0,514,1522,1
5391,,14981400,3654,Lake Town,2 BHK,Ready To Move,1,Edwards,0,1941,1999,6,2019,160,NA,1098,0,9,9,9,9,9,9,9,0,0,720,720,720,551,0,1271,1
5392,,15580000,3800,Rajarhat,3 BHK,18-Aug,1,CollgCr,1,1928,2007,8,2018,50,51,600,368,9,9,9,9,9,9,9,0,0,0,0,1664,0,0,1664,2
5393,,5969600,1456,Lake Town,2 BHK,Ready To Move,1,Somerst,3,1940,2002,5,2015,20,63,1095,0,9,9,9,9,9,9,9,0,0,602,602,900,602,0,1502,1
5394,,10069600,2456,New Town,2 BHK,Ready To Move,1,StoneBr,1,1995,1977,8,2014,20,109,720,472,9,9,9,9,9,9,9,247,465,310,1022,1022,0,0,1022,1
5395,,14981400,3654,New Town,2 BHK,Ready To Move,1,Gilbert,2,1992,1950,6,2014,20,85,764,862,9,9,9,9,9,9,9,336,0,746,1082,1082,0,0,1082,1
5396,,9225000,2250,Madurdaha Hussainpur,2 BHK,Ready To Move,1,SWISU,2,1976,2003,11,2017,70,68,918,0,9,9,9,9,9,9,9,643,0,167,810,810,855,0,1665,1
5397,,18450000,4500,Belghoria,6 BHK,Ready To Move,1,Somerst,2,1958,2010,11,2017,120,100,1428,0,9,9,9,9,9,9,9,690,0,814,1504,1504,0,0,1504,1
5398,,8200000,2000,Narendrapur,2 BHK,Ready To Move,1,CollgCr,2,1998,1976,6,2017,50,NA,1136,883,9,9,9,9,9,9,9,1036,0,184,1220,1360,0,0,1360,1
5399,,6560000,1600,N S C Bose Road  Narendrapur,3 BHK,Ready To Move,1,SawyerW,1,1978,2006,8,2018,20,56,673,709,9,9,9,9,9,9,9,0,0,384,384,802,670,0,1472,1
5400,,20500000,5000,Narendrapur,3 BHK,Ready To Move,1,ClearCr,2,1940,1998,5,2018,30,59,869,0,9,9,9,9,9,9,9,16,0,1346,1362,1506,0,0,1506,1
5401,,22550000,5500,New Town,4 BHK,Ready To Move,1,Blmngtn,2,2003,1986,4,2016,20,73,1241,0,9,9,9,9,9,9,9,1024,0,108,1132,1132,0,0,1132,1
5402,,18450000,4500,Rajarhat,2 Bedroom,Ready To Move,1,Edwards,1,1972,1993,6,2016,20,74,894,0,9,9,9,9,9,9,9,684,0,515,1199,1220,0,0,1220,1
5403,,7790000,1900,shalimar,4 BHK,Ready To Move,1,Edwards,1,1976,2006,7,2015,20,86,1121,0,9,9,9,9,9,9,9,324,0,588,912,912,336,0,1248,1
5404,,8200000,2000,Lake Gardens,2 BHK,Ready To Move,1,CollgCr,2,1920,2007,3,2010,160,60,999,0,9,9,9,9,9,9,9,16,0,1330,1346,1504,0,0,1504,1
5405,,7380000,1800,E M Bypass,2 Bedroom,Ready To Move,1,NridgHt,2,1963,1950,5,2011,60,65,1276,1336,9,9,9,9,9,9,9,1165,400,0,1565,2898,0,0,2898,1
5406,,7380000,1800,Santoshpur,4 Bedroom,Ready To Move,1,Edwards,1,1962,1961,5,2011,20,78,1266,0,9,9,9,9,9,9,9,138,468,276,882,882,0,0,882,1
5407,,7380000,1800,Howrah,3 BHK,Ready To Move,1,Mitchel,2,1954,1970,3,2012,60,NA,1149,1141,9,9,9,9,9,9,9,697,0,571,1268,1264,0,0,1264,1
5408,,8200000,2000,Howrah,7 BHK,19-Jan,0,NAmes,1,1959,1950,4,2012,60,100,1302,432,9,9,9,9,9,9,9,1513,0,125,1638,1646,0,0,1646,1
5409,,7790000,1900,Madhyamgram,2 Bedroom,Ready To Move,1,BrkSide,1,2000,2006,4,2013,20,80,1164,0,9,9,9,9,9,9,9,368,41,359,768,968,408,0,1376,1
5410,,7790000,1900,birati,1 BHK,Ready To Move,0,OldTown,1,1959,1952,4,2020,60,72,1001,634,9,9,9,9,9,9,9,317,0,355,672,672,546,0,1218,1
5411,,7790000,1900,Behala Chowrasta,2 BHK,Ready To Move,1,Edwards,1,1984,1950,5,2020,60,60,1940,0,9,9,9,9,9,9,9,0,0,686,686,948,980,0,1928,2
5412,,8200000,2000,birati,2 BHK,Ready To Move,1,CollgCr,1,1953,2006,7,2018,20,NA,1118,912,9,9,9,9,9,9,9,523,0,301,824,1687,998,397,3082,1
5413,,7790000,1900,Biren Roy Road,6 Bedroom,Ready To Move,1,NAmes,2,2003,1976,8,2019,20,77,778,798,9,9,9,9,9,9,9,1012,0,326,1338,1352,1168,0,2520,1
5414,,8200000,2000,Bramhapur,3 BHK,Ready To Move,1,IDOTRR,1,1922,2006,11,2020,20,64,1407,985,9,9,9,9,9,9,9,986,0,668,1654,1654,0,0,1654,1
5415,,7380000,1800,Dum Dum,3 BHK,Ready To Move,1,Somerst,2,1996,1977,2,2020,20,130,916,826,9,9,9,9,9,9,9,0,0,920,920,954,0,0,954,1
5416,,7380000,1800,Narendrapur,2 BHK,Ready To Move,1,Veenker,1,2004,1970,6,2019,80,21,1020,831,9,9,9,9,9,9,9,0,0,0,0,845,0,0,845,1
5417,,8200000,2000,Madhyamgram,3 Bedroom,Ready To Move,1,CollgCr,2,2010,1970,1,2018,20,60,750,750,9,9,9,9,9,9,9,1022,0,598,1620,1620,0,0,1620,1
5418,,7790000,1900,Howrah,2 Bedroom,17-Dec,0,Sawyer,1,2000,2005,9,2015,80,24,1718,0,9,9,9,9,9,9,9,0,0,1055,1055,1055,1208,0,2263,1
5419,,7790000,1900,New Town,2 BHK,18-Aug,0,NoRidge,2,1924,1950,9,2016,20,100,774,456,9,9,9,9,9,9,9,0,0,546,546,798,546,0,1344,1
5420,,7380000,1800,Uttarpara Kotrung,2 Bedroom,Ready To Move,1,Gilbert,2,2006,1950,5,2020,30,21,1050,0,9,9,9,9,9,9,9,509,0,121,630,630,0,0,630,1
5421,,7380000,1800,Narendrapur,3 BHK,Ready To Move,1,Sawyer,2,2006,1965,4,2020,20,43,1442,0,9,9,9,9,9,9,9,168,682,284,1134,1803,0,0,1803,1
5422,,7790000,1900,N S C Bose Road Narendrapur,2 BHK,18-Oct,1,SWISU,1,1928,1996,1,2020,20,40,1077,0,9,9,9,9,9,9,9,400,64,336,800,800,832,0,1632,1
5423,,7380000,1800,Rajarhat,2 BHK,Ready To Move,1,Crawfor,2,1992,2006,7,2019,20,50,1208,0,9,9,9,9,9,9,9,900,0,406,1306,1306,0,0,1306,1
5424,,7380000,1800,Howrah,2 BHK,Ready To Move,1,NridgHt,2,2004,1950,8,2019,80,40,944,0,9,9,9,9,9,9,9,1085,0,390,1475,1532,797,0,2329,1
5425,,7380000,1800,Tollygunge,6 Bedroom,Ready To Move,1,Somerst,2,1910,2001,5,2018,20,67,691,0,9,9,9,9,9,9,9,1104,0,1420,2524,2524,0,0,2524,1
5426,,7380000,1800,BADU ROAD,3 BHK,17-Jul,1,Edwards,1,1976,1996,7,2015,120,105,1574,0,9,9,9,9,9,9,9,0,0,0,0,1733,0,0,1733,1
5427,,9020000,2200,Dum Dum,2 BHK,Ready To Move,1,Gilbert,1,1999,1984,6,2014,20,92,1680,0,9,9,9,9,9,9,9,240,0,1752,1992,1992,876,0,2868,1
5428,,7380000,1800,Dum Dum,2 BHK,Ready To Move,1,Somerst,2,2007,1992,7,2014,60,52,1504,0,9,9,9,9,9,9,9,686,0,304,990,990,0,0,990,1
5429,,8200000,2000,Narendrapur,3 BHK,Ready To Move,1,OldTown,1,1900,2005,2,2017,90,53,985,0,9,9,9,9,9,9,9,0,0,0,0,1771,0,0,1771,1
5430,,7380000,1800,Narendrapur,2 BHK,16-Mar,1,SawyerW,2,2001,2005,11,2017,50,70,1657,0,9,9,9,9,9,9,9,0,0,0,0,930,0,0,930,1
5431,,7380000,1800,Rajpur,2 BHK,Ready To Move,1,Gilbert,2,1959,2006,4,2017,20,73,546,546,9,9,9,9,9,9,9,0,0,1302,1302,1302,0,0,1302,1
5432,,7380000,1800,Narendrapur,2 BHK,Ready To Move,1,Sawyer,1,1941,1950,8,2018,70,137,1710,0,9,9,9,9,9,9,9,0,0,1316,1316,1316,0,0,1316,1
5433,,8200000,2000,New Town,2 BHK,Ready To Move,1,Crawfor,2,1940,2006,10,2018,60,NA,1008,0,9,9,9,9,9,9,9,442,0,374,816,1127,850,0,1977,1
5434,,7380000,1800,Prince Anwar Shah Connector,8 Bedroom,Ready To Move,1,Edwards,1,1956,1976,6,2016,60,50,720,551,9,9,9,9,9,9,9,383,0,833,1216,1526,0,0,1526,1
5435,,6560000,1600,Ultadanga,3 BHK,Ready To Move,1,NAmes,1,1972,1972,5,2016,30,50,1664,0,9,9,9,9,9,9,9,932,0,133,1065,1091,898,0,1989,1
5436,,7380000,1800,Alipore,3 BHK,Ready To Move,1,Mitchel,2,1962,1960,11,2015,50,70,900,602,9,9,9,9,9,9,9,644,0,549,1193,1523,0,0,1523,1
5437,,7380000,1800,Tangra,3 BHK,18-Jul,1,NWAmes,2,1920,2008,5,2010,50,62,1022,0,9,9,9,9,9,9,9,659,0,705,1364,1364,0,0,1364,1
5438,,6560000,1600,Tangra,2 BHK,Ready To Move,0,Mitchel,1,2006,1950,6,2011,20,NA,1082,0,9,9,9,9,9,9,9,595,0,378,973,979,871,0,1850,1
5439,,14350000,3500,Dum Dum Park,3 Bedroom,Ready To Move,0,NoRidge,2,1996,1972,1,2011,30,75,810,855,9,9,9,9,9,9,9,936,0,168,1104,1130,1054,0,2184,1
5440,,4920000,1200,Dum Dum,4 Bedroom,Ready To Move,0,NAmes,1,2005,1995,7,2012,20,63,1504,0,9,9,9,9,9,9,9,297,557,0,854,1096,895,0,1991,1
5441,,4100000,1000,Dum Dum,2 BHK,Ready To Move,0,OldTown,1,1940,1970,3,2012,60,80,1360,0,9,9,9,9,9,9,9,616,0,722,1338,1338,0,0,1338,1
5442,,5535000,1350,Dum Dum,3 BHK,Ready To Move,1,SawyerW,2,1998,1993,4,2013,60,34,802,670,9,9,9,9,9,9,9,0,0,894,894,894,0,0,894,1
5443,,5883500,1435,Dum Dum,3 BHK,Ready To Move,1,NAmes,1,1995,2002,8,2020,20,NA,1506,0,9,9,9,9,9,9,9,0,0,662,662,1422,915,0,2337,2
5444,,7790000,1900,Dum Dum,3 BHK,Ready To Move,1,CollgCr,2,1976,1950,9,2020,190,NA,1132,0,9,9,9,9,9,9,9,397,0,706,1103,1103,0,0,1103,1
5445,,7380000,1800,Dum Dum,2 BHK,Ready To Move,1,Timber,2,1936,1957,7,2018,50,NA,1220,0,9,9,9,9,9,9,9,740,230,184,1154,1154,0,0,1154,1
5446,,6150000,1500,Howrah,3 BHK,Ready To Move,1,BrDale,1,1915,2008,11,2019,20,75,912,336,9,9,9,9,9,9,9,1201,0,105,1306,1306,954,0,2260,1
5447,,7380000,1800,Dum Dum,1 BHK,18-Apr,1,OldTown,1,2006,2002,4,2020,70,60,1504,0,9,9,9,9,9,9,9,0,0,799,799,799,772,0,1571,1
5448,,4100000,1000,Dum Dum,3 BHK,Ready To Move,1,BrDale,1,2007,2008,5,2020,50,60,2898,0,9,9,9,9,9,9,9,674,106,0,780,798,813,0,1611,1
5449,,5330000,1300,Howrah,3 BHK,Ready To Move,1,Gilbert,2,1958,1970,6,2019,70,74,882,0,9,9,9,9,9,9,9,837,0,105,942,1291,1230,0,2521,1
5450,,12300000,3000,Bangur,2 BHK,Ready To Move,1,MeadowV,1,1955,2000,6,2018,20,60,1264,0,9,9,9,9,9,9,9,220,0,625,845,893,0,0,893,1
5451,,6150000,1500,Kalitala Road,3 Bedroom,Ready To Move,1,CollgCr,2,2009,2000,5,2015,20,NA,1646,0,9,9,9,9,9,9,9,586,0,462,1048,1048,0,0,1048,1
5452,,7380000,1800,Bansdroni,2 BHK,18-Sep,1,OldTown,1,1927,2005,6,2016,20,85,968,408,9,9,9,9,9,9,9,298,0,429,727,829,727,0,1556,1
5453,,8200000,2000,Bansdroni,4 Bedroom,Ready To Move,0,BrkSide,1,1993,1990,5,2020,30,79,672,546,9,9,9,9,9,9,9,0,0,810,810,1002,454,0,1456,1
5454,,20500000,5000,New Town,2 BHK,Ready To Move,0,Crawfor,1,2007,1981,8,2020,60,98,948,980,9,9,9,9,9,9,9,535,0,155,690,698,728,0,1426,1
5455,,10250000,2500,New Town,4 Bedroom,Ready To Move,0,Edwards,1,1978,1955,7,2020,20,76,1687,998,9,9,9,9,9,9,9,0,0,1240,1240,1240,0,0,1240,1
5456,,6150000,1500,Belghoria Expressway,3 BHK,18-May,0,NridgHt,2,1918,2006,5,2019,80,NA,1352,1168,9,9,9,9,9,9,9,410,0,390,800,960,780,0,1740,1
5457,,5330000,1300,Rajarhat,3 BHK,Ready To Move,1,Edwards,2,1940,1995,7,2019,120,92,1654,0,9,9,9,9,9,9,9,626,0,170,796,1096,370,0,1466,1
5458,,4305000,1050,Rajarhat,2 BHK,18-Apr,1,BrkSide,2,1968,2006,4,2018,20,35,954,0,9,9,9,9,9,9,9,75,791,230,1096,1096,0,0,1096,1
5459,,6560000,1600,Behala,11 BHK,Ready To Move,1,Blmngtn,2,1997,2006,3,2015,60,110,845,0,9,9,9,9,9,9,9,662,0,186,848,848,0,0,848,1
5460,,4920000,1200,International Airport,3 BHK,Ready To Move,1,CollgCr,2,1977,2007,5,2014,160,41,1620,0,9,9,9,9,9,9,9,495,0,495,990,990,0,0,990,1
5461,,14350000,3500,Rajarhat,3 BHK,18-May,1,Edwards,1,1954,2007,4,2014,20,80,1055,1208,9,9,9,9,9,9,9,656,0,602,1258,1258,0,0,1258,1
5462,,5535000,1350,New Town,2 BHK,Ready To Move,1,NAmes,2,1998,1978,10,2017,20,75,798,546,9,9,9,9,9,9,9,824,0,216,1040,1040,0,0,1040,1
5463,,17835000,4350,New Town,2 BHK,Ready To Move,1,Gilbert,2,1956,2002,6,2017,90,105,630,0,9,9,9,9,9,9,9,0,0,1459,1459,1459,0,0,1459,1
5464,,7790000,1900,New Alipore,2 BHK,Ready To Move,1,IDOTRR,2,1946,2002,9,2017,80,79,1803,0,9,9,9,9,9,9,9,553,0,698,1251,1251,0,0,1251,1
5465,,7380000,1800,Narendrapur,2 BHK,Ready To Move,1,OldTown,1,1989,1976,3,2018,20,50,800,832,9,9,9,9,9,9,9,592,0,99,691,691,807,0,1498,1
5466,,14350000,3500,Narendrapur,3 BHK,18-Dec,1,OldTown,1,1957,2005,7,2018,20,98,1306,0,9,9,9,9,9,9,9,747,0,189,936,996,0,0,996,1
5467,,19680000,4800,N S C Bose Road Narendrapur,3 BHK,Ready To Move,1,ClearCr,2,2007,1994,4,2016,60,72,1532,797,9,9,9,9,9,9,9,334,0,212,546,546,546,0,1092,1
5468,,20500000,5000,kalikapur,2 BHK,Ready To Move,1,Timber,2,1988,2008,5,2016,70,50,2524,0,9,9,9,9,9,9,9,0,0,1082,1082,1082,871,0,1953,1
5469,,5330000,1300,Konnagar,4 Bedroom,Ready To Move,1,Somerst,2,1971,1950,5,2015,60,32,1733,0,9,9,9,9,9,9,9,0,0,970,970,970,739,0,1709,1
5470,,8200000,2000,N S C Bose Road  Narendrapur,2 Bedroom,Ready To Move,1,Mitchel,2,1920,2001,4,2010,80,NA,1992,876,9,9,9,9,9,9,9,1039,0,208,1247,1247,0,0,1247,1
5471,,5157800,1258,New Town,2 BHK,Ready To Move,1,NWAmes,1,1971,1950,4,2011,20,80,990,0,9,9,9,9,9,9,9,0,0,0,0,1040,0,0,1040,2
5472,,7380000,1800,Tangra,4 BHK,Ready To Move,1,OldTown,1,1997,1950,6,2011,160,79,1771,0,9,9,9,9,9,9,9,510,0,90,600,624,628,0,1252,1
5473,,6560000,1600,Rajarhat,2 BHK,18-May,1,ClearCr,1,1972,1980,3,2012,50,70,930,0,9,9,9,9,9,9,9,423,0,758,1181,1390,304,0,1694,1
5474,,5678500,1385,Rajarhat,2 BHK,Ready To Move,1,OldTown,1,1996,1966,6,2012,70,60,1302,0,9,9,9,9,9,9,9,661,0,203,864,1200,0,0,1200,1
5475,,10250000,2500,Rajarhat,2 BHK,19-Jun,1,BrkSide,1,1920,1997,10,2013,50,21,1316,0,9,9,9,9,9,9,9,248,240,448,936,936,0,0,936,1
5476,,8200000,2000,Howrah,2 BHK,Ready To Move,1,Somerst,2,1926,1994,5,2020,20,NA,1127,850,9,9,9,9,9,9,9,24,0,1290,1314,1314,0,0,1314,1
5477,,5330000,1300,Sodepur,4 BHK,Ready To Move,0,SWISU,1,1913,1964,3,2020,50,79,1526,0,9,9,9,9,9,9,9,0,0,684,684,773,582,0,1355,1
5478,,18450000,4500,Rajarhat,2 BHK,Ready To Move,1,Sawyer,1,1920,1973,3,2018,50,105,1091,898,9,9,9,9,9,9,9,0,0,1074,1074,1088,0,0,1088,1
5479,,6560000,1600,Madhyamgram,2 BHK,Ready To Move,1,Crawfor,1,2008,2003,10,2019,20,70,1523,0,9,9,9,9,9,9,9,672,0,0,672,757,567,0,1324,1
5480,,4100000,1000,Kasba,4 BHK,Ready To Move,1,CollgCr,2,1955,1956,7,2020,60,50,1364,0,9,9,9,9,9,9,9,704,0,567,1271,1601,0,0,1601,1
